date,district,confirmed,deaths,from_abroad,known_domestic_source
2020-03-14,Lappi,2,0,0,0
2020-03-14,Länsi-Pohja,0,0,0,0
2020-03-14,Pirkanmaa,27,0,0,0
2020-03-14,Pohjois-Karjala,2,0,0,0
2020-03-14,Pohjois-Pohjanmaa,28,0,0,0
2020-03-14,Pohjois-Savo,4,0,0,0
2020-03-14,Päijät-Häme,2,0,0,0
2020-03-14,Satakunta,10,0,0,0
2020-03-14,Vaasa,1,0,0,0
2020-03-14,Varsinais-Suomi,18,0,0,0
2020-03-15,Ahvenanmaa,0,0,0,0
2020-03-15,Etelä-Karjala,3,0,0,0
2020-03-15,Etelä-Pohjanmaa,5,0,0,0
2020-03-15,Etelä-Savo,5,0,0,0
2020-03-15,HUS,221,0,0,0
2020-03-15,Itä-Savo,0,0,0,0
2020-03-15,Kainuu,0,0,0,0
2020-03-15,Kanta-Häme,13,0,0,0
2020-03-15,Keski-Pohjanmaa,3,0,0,0
2020-03-15,Keski-Suomi,13,0,0,0
2020-03-15,Kymenlaakso,1,0,0,0
2020-03-15,Lappi,2,0,0,0
2020-03-15,Länsi-Pohja,0,0,0,0
2020-03-15,Pirkanmaa,28,0,0,0
2020-03-15,Pohjois-Karjala,3,0,0,0
2020-03-15,Pohjois-Pohjanmaa,29,0,0,0
2020-03-15,Pohjois-Savo,4,0,0,0
2020-03-15,Päijät-Häme,2,0,0,0
2020-03-15,Satakunta,10,0,0,0
2020-03-15,Vaasa,3,0,0,0
2020-03-15,Varsinais-Suomi,18,0,0,0
2020-03-16,Ahvenanmaa,0,0,0,0
2020-03-16,Etelä-Karjala,3,0,0,0
2020-03-16,Etelä-Pohjanmaa,5,0,0,0
2020-03-16,Etelä-Savo,5,0,0,0
2020-03-16,HUS,262,0,0,0
2020-03-16,Itä-Savo,0,0,0,0
2020-03-16,Kainuu,1,0,0,0
2020-03-16,Kanta-Häme,13,0,0,0
2020-03-16,Keski-Pohjanmaa,3,0,0,0
2020-03-16,Keski-Suomi,15,0,0,0
2020-03-16,Kymenlaakso,1,0,0,0
2020-03-16,Lappi,3,0,0,0
2020-03-16,Länsi-Pohja,0,0,0,0
2020-03-16,Pirkanmaa,29,0,0,0
2020-03-16,Pohjois-Karjala,3,0,0,0
2020-03-16,Pohjois-Pohjanmaa,31,0,0,0
2020-03-16,Pohjois-Savo,4,0,0,0
2020-03-16,Päijät-Häme,3,0,0,0
2020-03-16,Satakunta,10,0,0,0
2020-03-16,Vaasa,6,0,0,0
2020-03-16,Varsinais-Suomi,18,0,0,0
2020-03-17,Ahvenanmaa,0,0,0,0
2020-03-17,Etelä-Karjala,3,0,0,0
2020-03-17,Etelä-Pohjanmaa,5,0,0,0
2020-03-17,Etelä-Savo,5,0,0,0
2020-03-17,HUS,293,0,0,0
2020-03-17,Itä-Savo,1,0,0,0
2020-03-17,Kainuu,2,0,0,0
2020-03-17,Kanta-Häme,14,0,0,0
2020-03-17,Keski-Pohjanmaa,3,0,0,0
2020-03-17,Keski-Suomi,15,0,0,0
